index,portLOCAL,port1,port2,port3
223,0.0,8360458.666666667,2033269.3333333333,480.0
224,0.0,5993994.666666667,633893.3333333334,640.0
225,0.0,1745445.3333333333,442096.0,480.0
226,0.0,2131418.6666666665,452048.0,640.0
227,0.0,1794800.0,838213.3333333334,480.0
228,0.0,1456144.0,1827808.0,480.0
229,0.0,1455856.0,1163898.6666666667,640.0
230,0.0,1451728.0,1513360.0,480.0
231,0.0,1439824.0,1505456.0,480.0
232,0.0,1448085.3333333333,1509877.3333333333,640.0
233,0.0,1463888.0,2224570.6666666665,480.0
234,0.0,1274784.0,2603216.0,640.0
235,0.0,1370912.0,2233098.6666666665,480.0
236,0.0,1383253.3333333333,2591429.333333333,480.0
237,0.0,1374848.0,2944309.333333333,640.0
238,0.0,1349589.3333333333,1981717.3333333333,480.0
239,0.0,1149616.0,2741376.0,640.0
240,0.0,490448.0,1931296.0,480.0
241,0.0,461904.0,1073984.0,480.0
242,0.0,560608.0,1077290.6666666667,640.0
243,0.0,790480.0,1073872.0,480.0
244,0.0,794352.0,1074032.0,480.0
245,0.0,798560.0,1074224.0,640.0
246,0.0,565296.0,4864.0,480.0
247,0.0,327072.0,640.0,640.0
248,0.0,327232.0,480.0,480.0
249,0.0,327072.0,452224.0,480.0
250,0.0,327184.0,544912.0,640.0
251,0.0,327232.0,548832.0,480.0
252,0.0,327072.0,544960.0,640.0
253,0.0,327072.0,544800.0,480.0
254,0.0,319280.0,682000.0,480.0
255,0.0,480.0,770752.0,640.0
256,0.0,480.0,762528.0,480.0
257,0.0,4672.0,782688.0,480.0
258,0.0,4512.0,347392.0,640.0
259,0.0,816.0,218544.0,480.0
260,0.0,752.0,218320.0,480.0
261,0.0,17397.333333333332,934512.0,640.0
262,0.0,24400.0,1291600.0,480.0
263,0.0,16629.333333333332,2551050.6666666665,480.0
264,0.0,24240.0,7799248.0,640.0
265,0.0,24512.0,7638080.0,480.0
266,0.0,32181.33333333333,8218234.666666667,640.0
267,0.0,520528.0,7726672.0,480.0
268,0.0,689888.0,7987861.333333333,480.0
269,0.0,1129072.0,8551130.666666666,640.0
270,0.0,1554480.0,7994410.666666667,480.0
271,0.0,1570805.3333333333,7793194.666666667,480.0
272,0.0,1532496.0,7144133.333333333,640.0
273,0.0,1532880.0,7684645.333333333,480.0
274,0.0,1250112.0,8094794.666666667,640.0
275,0.0,665840.0,7692709.333333333,480.0
276,0.0,661920.0,7511397.333333333,480.0
277,0.0,653664.0,2065024.0,640.0
278,0.0,649904.0,758608.0,480.0
279,0.0,657696.0,766720.0,480.0
280,0.0,294816.0,411744.0,640.0
281,0.0,640.0,327072.0,480.0
282,0.0,480.0,327232.0,480.0
283,0.0,480.0,327072.0,640.0
284,0.0,640.0,327072.0,480.0
285,0.0,480.0,327232.0,640.0
286,0.0,480.0,327072.0,480.0
287,0.0,4672.0,198208.0,480.0
288,0.0,480.0,480.0,640.0
289,0.0,327344.0,592.0,480.0
290,0.0,798426.6666666666,9221.333333333334,480.0
291,0.0,793381.3333333334,8400.0,640.0
292,0.0,1151690.6666666667,17024.0,480.0
293,0.0,793733.3333333334,8560.0,640.0
294,0.0,1151674.6666666667,16517.333333333332,480.0
295,0.0,793893.3333333334,8400.0,480.0
