index,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:08,00:00:00:00:00:07,00:00:00:00:00:05,00:00:00:00:00:02,00:00:00:00:00:01,00:00:00:00:00:04
141,1967728.0,1229872.0,2330720.0,120960.0,2338784.0,224.0,326592.0,0.0
142,1685712.0,957829.3333333334,2004016.0,109088.0,2003904.0,112.0,314608.0,112.0
143,1480314.6666666667,741888.0,2003904.0,104832.0,1999984.0,0.0,322672.0,0.0
144,1621408.0,858816.0,2338560.0,125104.0,2338560.0,758016.0,367024.0,149296.0
145,1262016.0,733936.0,1999984.0,104832.0,1999872.0,951664.0,314496.0,318640.0
146,1366848.0,741888.0,2004016.0,104832.0,2007936.0,947520.0,342720.0,314608.0
147,1604736.0,858816.0,2338560.0,124992.0,2338560.0,1108800.0,616896.0,366912.0
148,1366960.0,737856.0,1999984.0,104832.0,2004128.0,947520.0,528192.0,318528.0
149,1370880.0,1334704.0,1999984.0,104832.0,1999872.0,947520.0,528192.0,314496.0
150,1600816.0,1706453.3333333333,2338672.0,120960.0,2334640.0,1108800.0,616896.0,371168.0
151,1370992.0,1366848.0,2016112.0,108864.0,2254000.0,947520.0,524272.0,314496.0
152,1366848.0,1374912.0,1991808.0,104832.0,2318400.0,947520.0,524160.0,318528.0
153,1600816.0,1596672.0,2338560.0,121072.0,2709504.0,1109024.0,645232.0,367024.0
154,1370992.0,1370880.0,2003904.0,104832.0,2318400.0,947520.0,637168.0,318528.0
155,1366848.0,1370880.0,1999872.0,104944.0,2318512.0,947632.0,633136.0,314496.0
156,1600704.0,1596672.0,2338672.0,124992.0,2701552.0,1108800.0,822528.0,370944.0
157,1366960.0,1375136.0,2004240.0,104832.0,2322544.0,947632.0,1370880.0,314720.0
158,1604736.0,1596672.0,2338560.0,124992.0,2709504.0,1108800.0,1596672.0,1173312.0
159,1366960.0,1370880.0,2004016.0,104832.0,2318400.0,3229632.0,1375136.0,1157408.0
