port1,port2
1971648,1796256
1977696,1790208
1977696,1790208
1977696,1790208
1977696,1790208
1995840,1808352
1959552,1778112
1805632,1802304
949536,1790208
949536,1790208
949536,1790208
949536,1790208
949536,1796256
943488,1790208
949536,1796256
949536,1790208
949536,1790208
949536,1790208
949536,1790208
949536,1796256
943488,1790208
949536,1796256
251296,1796256
0,1790208
0,1790208
0,1790208
0,1796256
0,1790208
0,1796256
0,1862784
0,1717632
6048,1314144
0,949536
0,949536
0,949536
0,949536
6048,257344
0,0
0,0
0,0
0,5558112
0,9676800
0,12362112
0,13801536
0,15464736
0,10257408
0,11321856
0,11327904
0,11315808
0,11327904
0,11321856
0,11321856
6048,9826880
0,6168960
0,6181056
0,6217344
0,6132672
0,6168960
0,6175288
0,6168960
0,6193152
0,6162912
0,6181056
0,6175008
6048,5705512
0,3090528
0,3084480
0,3090528
0,3084480
0,3090528
0,3084480
0,3090528
6048,553136
0,0
846720,0
1028160,0
1028160,0
1028160,0
1034208,0
1022112,0
1034208,0
1028160,0
1330560,0
1971648,0
1983744,641088
1977696,2056320
1977696,2062368
1977696,2376864
1983744,3090528
1977696,3084480
1977696,3090528
1977696,3090528
1977696,3090528
1977696,3084480
1977696,3405024
1977696,4118688
1977696,4112640
1983744,4124736
1971648,4106592
1977696,4118688
1983744,3454616
1977696,2346624
1983744,3005856
1977696,3919104
1977696,6090336
1971648,6090336
1114040,6102432
949536,6096384
949536,6102432
949536,6090336
949536,6102432
949536,6840288
943488,7039872
949536,7051968
955584,5081528
949536,3955392
949536,4542048
949536,6017760
949536,6277824
943488,6967296
949536,7759584
949536,8001504
949536,7977312
949536,8739360
949536,9725184
949536,9967104
949536,9985248
943488,9955008
949536,9973152
949536,9967104
991872,10426752
907200,9525600
949536,9967104
943488,9955008
949536,9985248
955584,9605952
961632,7462280
949536,5933088
949536,5945184
63808,5920992
6048,5147536
6048,4499152
0,3955392
0,3961440
0,3955392
0,3961440
6048,3595840
0,2927232
6048,2116240
0,1899072
0,1899072
0,1899072
0,1886976
12096,1283344
0,0
0,0
0,0
0,0
0,0
798336,0
5140800,0
5134752,0
7154784,0
8219232,0
8684928,0
11309760,0
13964832,0
15888096,0
13795488,0
13396320,0
13353984,0
13396320,0
13366080,0
13384224,0
13378176,0
13372128,0
13390272,0
13372128,0
10724832,6048
9259488,0
9271584,0
9253440,0
9271584,0
9253440,0
9670752,0
8872416,0
5214504,12096
3090528,0
3081200,0
6048,6048
0,0
907200,0
943488,0
949536,0
949536,0
1741824,0
1796256,0
1784160,0
1796256,0
1790208,0
1790208,0
1796256,0
1790208,0
1796256,0
1790208,0
2673216,0
2745792,0
2739744,0
2739744,0
3628800,0
4802112,0
4796064,0
4796064,0
4802112,0
4796064,0
4808160,0
4790016,0
4808160,0
4796064,870912
4808160,2062368
4790016,2056320
4808160,2062368
4796064,2056320
3888304,2062368
2745792,2062368
2739744,2056320
2745792,2062368
2733696,2056320
4366656,2056320
5642784,2062368
5642784,2056320
5642784,3320352
5642784,4257232
5648832,3090528
5642784,3090528
5642784,3084480
5636736,3084480
5642784,3090528
5648832,3090528
5420216,3090528
4687200,2842000
4705344,0
4687200,0
3713560,12096
2909088,0
2896992,0
2903040,0
2903040,0
2896992,0
2903040,0
2903040,0
2903040,0
2021760,6048
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
846720,0
840672,0
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
846720,0
840672,0
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
840672,0
846720,0
840672,0
846720,0
840672,0
858816,0
828576,0
840672,0
438784,6048
0,0
0,0
0,0
0,0
0,0
0,0
0,2745792
0,5812128
0,6181056
0,7741440
0,10299744
0,10275552
0,12259296
0,15422400
0,8902656
0,8243424
0,8225280
0,8255520
0,8219232
0,8243424
0,8225280
0,8243424
6048,4192992
0,3084480
6048,2363648
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2219616
0,3084480
0,3090528
0,3084480
0,3217536
