port1,port2,port3,port4,port5
480,480,480,480,3091008
720,480,480,480,3084960
480,480,480,480,3091008
480,480,720,480,3079152
480,720,480,720,3091008
480,480,480,480,3091008
720,480,480,480,3103104
6528,480,720,480,1364048
480,720,480,720,720
1113312,480,480,480,480
2057040,480,480,480,480
2062848,480,480,480,480
2056800,480,720,480,720
2068896,720,480,720,480
2056800,480,480,480,480
2099376,480,480,480,480
2008416,480,480,480,480
2099136,720,720,480,720
2062848,480,480,720,480
2582976,480,480,480,480
2976336,480,480,480,480
2976096,480,480,480,480
3024480,480,480,480,480
3205440,0,0,0,0
4844688,240,240,240,240
6096384,0,0,0,0
6090336,0,0,0,0
6090336,0,0,0,0
6102432,0,0,0,0
5381080,0,0,0,6048
5086368,0,0,0,0
4983980,428,428,428,428
4995648,0,0,0,0
4965408,0,0,0,0
4989600,0,0,0,0
4989600,0,0,0,0
5092416,0,0,0,0
5896800,0,0,0,0
5999616,0,0,0,0
6017760,0,0,0,0
4150656,0,6048,0,0
3011904,0,0,0,0
3955392,0,0,0,0
3961440,0,0,0,0
3949344,0,0,0,0
3949344,0,0,0,0
3955392,0,0,0,0
3961440,0,0,0,0
4021920,0,0,0,0
5975424,0,0,0,0
6852384,0,0,0,0
6858432,0,0,0,0
6870528,0,0,0,0
6846336,0,0,0,0
6882624,0,471744,0,0
6828192,0,846720,0,0
6876576,0,840672,0,0
6756304,0,840672,6048,0
5842368,0,846720,0,0
4701584,0,864864,0,0
3695328,0,822528,0,0
3773952,0,846720,0,0
3767904,0,840672,0,0
3780000,0,846720,108864,0
3646384,0,840672,2056320,6048
2733696,0,846720,2056320,0
2739744,0,840672,2062368,0
2745792,0,846720,2056320,0
2739744,0,840672,2056320,0
2739744,0,840672,2062368,0
2745792,0,846720,2056320,0
2227392,0,840672,2062368,6048
1790208,0,846720,2147040,0
1802304,0,811120,4118688,0
1790208,0,0,4112640,0
1796256,0,0,4112640,0
1790208,0,0,4124736,0
1790208,0,0,4112640,0
3471552,0,0,4124736,0
4874688,0,0,4112640,0
4886784,0,0,4118688,0
4880736,0,0,4118688,0
4880736,0,0,4112640,0
4868640,0,0,4112640,0
4886784,0,0,4124736,0
4684480,0,0,4112640,0
3931200,0,0,4118688,0
3931200,0,0,4118688,0
3931200,0,0,4118688,0
3943296,0,0,3988960,0
3925152,0,0,2056320,0
3931200,0,0,2056320,0
3931200,0,0,2062368,0
3931200,0,0,2056320,0
3937248,0,0,2062368,0
3245056,0,0,2056320,6048
840672,0,0,2056320,0
846720,0,0,2062368,0
846720,0,0,1932640,0
846720,0,0,0,0
840672,0,0,0,0
846720,0,0,0,0
840672,0,0,0,0
846720,0,0,0,0
840672,0,0,0,0
840672,0,0,0,0
846720,0,0,0,0
406944,0,6048,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2413152
0,0,0,0,4112640
0,0,0,0,4118688
0,0,1796256,0,4118688
0,0,3090528,1784160,4118688
0,0,3090528,3090528,4118688
0,0,3084480,3090528,5896800
0,0,3084480,3084480,7203168
0,0,3084480,3090528,7209216
0,0,3096576,3090528,10154592
0,0,3084480,3084480,12319776
0,0,3084480,3090528,12337920
0,0,3096576,3096576,12386304
0,0,3084480,3078432,12319776
0,0,3090528,3090528,12356064
0,0,3084480,3090528,12343968
0,0,3090528,3084480,12356064
0,0,3084480,3090528,12350016
0,0,3090528,3090528,12368160
0,0,3084480,3084480,12337920
12096,0,3090528,1265760,9867056
0,0,3084480,0,8231328
0,0,3090528,0,8231328
0,6048,3084480,0,7353768
6048,0,2282344,0,3078432
0,6048,0,0,258944
0,0,0,0,0
2818368,0,0,0,0
3084480,0,0,0,0
3090528,0,0,0,0
3084480,0,0,0,0
3096576,0,0,0,0
3078432,0,0,0,0
3090528,0,0,417312,0
3090528,0,0,1028160,0
3084480,0,0,1028160,0
3090528,0,0,1028160,0
2311544,0,0,1034208,6048
0,0,0,1028160,0
0,0,0,2255904,0
0,0,0,4118688,0
0,0,0,4112640,810432
0,0,0,4288032,2147040
0,0,0,3937248,1965600
0,0,0,4118688,2062368
338688,0,0,4118688,2056320
840672,0,0,4112640,2056320
840672,0,0,4124736,2062368
846720,0,0,4112640,2056320
2062368,0,0,3702064,1246576
3937248,0,0,817688,0
3931200,0,0,0,0
3925152,0,0,0,0
3937248,0,0,0,0
3925152,0,0,0,0
3937248,0,0,0,0
2875088,0,0,0,6048
3931200,0,0,0,0
3937248,0,0,0,0
3925152,0,0,0,0
3937248,0,0,0,0
3931200,0,1167264,0,0
3931200,0,3084480,0,0
6634656,0,3084480,0,0
7033824,0,3096576,0,0
7003584,0,3078432,0,0
7759584,0,3090528,0,0
7868448,0,3090528,0,0
7868448,0,3090528,0,0
7850304,0,3084480,0,0
7862400,0,3090528,0,0
9646560,0,3084480,0,0
7010800,0,3084480,12096,0
3743712,0,3090528,0,0
3743712,0,3090528,0,0
3743712,0,3078432,0,0
3743712,0,3090528,0,0
3749760,0,3090528,0,0
