,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port2,5_port5,5_port3,6_port1,6_port2,Host_1,Host_2,Host_4,Host_3
403,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,9785664.0,4197312.0,0.0,0.0
404,480.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,7209216.0,5225472.0,0.0,0.0
405,480.0,480.0,2504352.0,480.0,480.0,480.0,480.0,2480160.0,480.0,480.0,960.0,2468064.0,960.0,480.0,480.0,960.0,480.0,480.0,7209216.0,6181056.0,0.0,0.0
406,480.0,960.0,3387360.0,960.0,480.0,960.0,480.0,3399456.0,480.0,480.0,480.0,3399456.0,480.0,480.0,480.0,480.0,480.0,960.0,7209216.0,6075728.0,0.0,0.0
407,960.0,480.0,7548384.0,480.0,480.0,480.0,480.0,7512576.0,960.0,480.0,480.0,7487904.0,480.0,480.0,480.0,480.0,480.0,480.0,6016288.0,3096576.0,0.0,12096.0
408,480.0,480.0,8068512.0,480.0,480.0,480.0,960.0,8068512.0,480.0,960.0,480.0,8068512.0,480.0,960.0,960.0,480.0,480.0,480.0,6181056.0,4632768.0,0.0,0.0
409,480.0,480.0,7948032.0,480.0,960.0,480.0,480.0,7959648.0,480.0,480.0,480.0,7960128.0,480.0,480.0,480.0,480.0,960.0,480.0,4112640.0,3084480.0,0.0,0.0
410,480.0,480.0,8987808.0,480.0,480.0,480.0,480.0,8975712.0,480.0,480.0,960.0,8951520.0,960.0,480.0,480.0,960.0,480.0,480.0,4124736.0,1416608.0,48384.0,0.0
411,480.0,960.0,13185120.0,960.0,480.0,960.0,480.0,13173024.0,480.0,480.0,480.0,11407008.0,480.0,480.0,1730208.0,480.0,480.0,960.0,3171568.0,0.0,0.0,12096.0
412,960.0,480.0,16039776.0,480.0,480.0,480.0,960.0,16028160.0,960.0,480.0,480.0,11455392.0,480.0,480.0,4584864.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
413,480.0,7729824.0,9483744.0,480.0,480.0,7693536.0,480.0,9507936.0,480.0,960.0,7645712.0,12266304.0,480.0,960.0,4911936.0,480.0,960.0,1040.0,0.0,0.0,0.0,0.0
414,480.0,8044320.0,10645440.0,480.0,960.0,8032224.0,480.0,10644960.0,480.0,480.0,8044320.0,14056032.0,960.0,480.0,4596960.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
415,480.0,8044320.0,11503776.0,480.0,480.0,8044800.0,480.0,11503776.0,480.0,480.0,8044800.0,14963232.0,480.0,480.0,4596960.0,960.0,480.0,960.0,3398976.0,0.0,0.0,0.0
416,13056.0,8020608.0,10200944.0,960.0,480.0,8044320.0,12576.0,10213040.0,960.0,480.0,8044320.0,13672496.0,12576.0,480.0,4584864.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
417,480.0,5254720.0,7983840.0,12576.0,12576.0,5266816.0,960.0,7984320.0,480.0,13056.0,5278912.0,8726272.0,480.0,12576.0,4573248.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
418,480.0,4560672.0,6751424.0,480.0,480.0,4548576.0,480.0,6763520.0,480.0,480.0,4548576.0,7972224.0,480.0,960.0,3364544.0,480.0,960.0,480.0,6181056.0,0.0,0.0,0.0
419,480.0,4669536.0,3545088.0,480.0,960.0,4669536.0,480.0,3556704.0,480.0,480.0,4669536.0,8165280.0,960.0,480.0,48864.0,960.0,480.0,480.0,4124736.0,0.0,0.0,0.0
420,12576.0,4536480.0,739712.0,960.0,480.0,4549056.0,12576.0,751808.0,480.0,480.0,4549056.0,5263616.0,12576.0,480.0,48864.0,480.0,480.0,960.0,4112640.0,0.0,0.0,0.0
421,960.0,1829872.0,480.0,12576.0,12576.0,1841488.0,480.0,960.0,960.0,12576.0,1865680.0,1889872.0,480.0,12576.0,480.0,480.0,480.0,480.0,4124736.0,0.0,0.0,0.0
422,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
423,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,6168960.0,0.0,0.0,0.0
424,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,4124736.0,0.0,0.0,0.0
425,480.0,480.0,4403424.0,960.0,480.0,960.0,480.0,4379232.0,480.0,480.0,480.0,4355040.0,480.0,480.0,480.0,480.0,480.0,960.0,4112640.0,0.0,0.0,0.0
426,960.0,960.0,4548576.0,480.0,480.0,480.0,480.0,4549056.0,960.0,480.0,480.0,4548576.0,480.0,480.0,480.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
427,480.0,480.0,5951712.0,480.0,480.0,480.0,960.0,5939616.0,480.0,960.0,480.0,4560672.0,480.0,480.0,1355712.0,480.0,480.0,480.0,6168960.0,0.0,0.0,0.0
428,480.0,480.0,10257888.0,480.0,960.0,480.0,480.0,10257888.0,480.0,480.0,480.0,4561152.0,1040.0,960.0,5697696.0,1040.0,960.0,480.0,4124736.0,1233792.0,0.0,0.0
429,480.0,480.0,10234176.0,480.0,480.0,480.0,480.0,10233696.0,480.0,480.0,480.0,4548576.0,960.0,480.0,5685600.0,960.0,480.0,480.0,5419008.0,6737472.0,0.0,0.0
430,480.0,480.0,10257888.0,960.0,480.0,960.0,480.0,10257888.0,480.0,480.0,960.0,4560672.0,480.0,480.0,5697696.0,480.0,480.0,960.0,4112640.0,5152896.0,0.0,0.0
