index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8
639,320,3621280,1379488,320,3617248,160,320,320,343152,2754288,320,2705904,1721984,915696,923760,802688,160,2407376,320,1601360,4645296,1375456,320,320,1951920,2064816,1371424,1371424,3209904,577008,320,1538037.333,1814512,3447360,371056,1108800,2096864,3447472,4032,683045.3333
640,320,3194234.667,1359216,320,3198266.667,320,320,320,347184,2125616,4352,2291066.667,1105520,907632,903488,210416,4352,2371136,320,1693712,4218474.667,1359056,320,160,2032560,2028528,1355072,1355072,2299354.667,673776,4464,1919664,1657696,2266442.667,314496,947520,1790208,2947504,112,641424
641,320,3097072,1371536,320,3101264,320,320,320,347520,1947888,544,2181968,919568,1109344,915584,432,432,2411456,320,1726016,4133456,1375568,160,320,2064704,2068736,1375232,1383296,2181856,689792,656,1948112,1596896,2500064,370944,1108912,2092608,3443328,224,734048
642,160,3056576,1358944,320,3048512,320,320,320,339008,1919552,320,2145344,903488,1129280,903488,432,320,2371248,320,1693872,4064688,1355072,320,320,2032560,2032560,1359104,1355296,2145344,677808,320,1919664,1370880,2209536,314608,951664,1790432,2947504,112,633024
643,320,3052768,1276901.333,320,3052768,320,160,320,339232,1845253.333,544,2145456,903600,1129280,907632,320,432,2296997.333,320,1697904,4064528,1276901.333,320,320,2040512,2032448,1276789.333,627637.3333,2153520,677696,432,1919552,1600704,2584736,371168,1104768,2096752,2726090.667,0,737968
644,320,3608960,1129280,320,3612992,320,320,160,339008,1693760,432,2709824,903488,1129392,903488,320,320,2141312,160,2254208,4064576,1129280,320,320,2592896,2032448,1125248,451904,2137280,677696,320,1919552,1370992,2669296,314496,951552,1790208,1891008,0,637056
645,320,3847072,1073514.667,320,3843040,320,320,320,8834842.667,1693872,8532144,2939760,903488,1073290.667,903600,432,8568320,2149376,320,2488400,4064688,1073514.667,320,320,2823056,2032560,1077546.667,455936,2153360,677808,320,1919552,1600704,3443440,8414784,1104880,2052746.667,2217936,0,733936
646,320,3899376,802800,320,3899376,320,320,320,2424234.667,1722096,2444282.667,2976048,923760,802800,919616,320,2407994.667,2181744,320,2516512,4121136,802800,320,320,2863040,2060784,802800,456160,2169648,689744,160,1951808,1370992,2955568,3250362.667,947520,1479968,1899072,0,637168
647,320,12092512,802912,320,12120736,320,320,320,544,1717952,432,11225632,911552,798768,915584,320,320,2173568,320,2520432,12326256,802912,320,320,2854816,2060672,798768,456048,10370624,689792,432,1939664,9362416,3447472,370944,1108800,1717744,2209536,0,733824
648,320,9400773.333,807056,320,9372549.333,320,320,320,4576,1718064,320,8449109.333,919616,806944,911664,320,320,2177712,320,2524464,9638549.333,807056,320,320,2871104,2060512,802640,459920,7699045.333,685946.6667,4576,1951920,7323861.333,2947392,314608,947520,1475824,1899072,112,637168
649,320,3476448,790704,320,3480480,320,320,320,544,1689840,384,2927504,899568,790432,545072,4352,432,2137392,320,2021008,4157424,794736,320,320,2355552,2028528,794736,452240,2141312,677808,320,2016432,1604736,3443552,367024,766512,1726032,2225776,112,737856
650,320,3552736,802912,160,3552576,320,320,320,432,1722096,320,2980080,915584,802800,576848,432,320,2177600,320,1939824,4354992,798880,320,320,2294640,2060672,798768,455936,2173680,681728,432,2177600,1366960,2955456,314496,629104,1471680,1891120,0,637168
651,320,3496176,790704,320,3488112,320,320,320,320,1689840,432,2931584,903488,790704,564912,272,160,2141152,320,1814000,4282416,790704,320,320,2144624,2032448,790592,451904,2145344,572144,432,2141424,1600816,3443440,370944,737968,1721664,2221632,112,632304
652,320,2880917.333,802912,320,2880917.333,160,320,320,4464,1718064,432,2300197.333,915584,806720,568944,320,320,2177712,320,1835056,3840421.333,806944,320,160,2177936,2218032,802912,459968,1509925.333,572976,4352,2326784,771637.3333,2947504,318640,633024,1475712,2028432,0,532336
653,320,2367674.667,794736,320,2371706.667,320,320,320,4352,1689840,320,1811146.667,903328,786560,564912,320,320,2141424,320,1798816,3383962.667,790544,160,320,2141424,2254618.667,790592,447984,1468192,565024,4464,1924154.667,431882.6667,2959488,314608,633024,1475824,2104816,4144,524384
654,160,2032400,790704,320,2036592,320,320,320,4464,1219829.333,4464,1468080,425525.3333,794624,564800,432,4352,1671525.333,320,1814720,3019306.667,794736,320,320,2153408,2220858.667,790592,451904,1434618.667,568832,432,1580976,0,3042085.333,375088,737968,1721664,2455488,0,612864
655,320,2024496,1185680,320,2020464,320,160,320,391536,790432,391424,1460016,320,786672,564800,320,320,1238144,320,1798592,2137392,1181808,320,320,2133248,1351040,1181696,451904,560768,564800,432,1580976,112,2108736,314496,633024,1802304,1309306.667,112,532224
656,320,2105248,1286752,320,2101216,320,320,320,468256,814784,468256,1520608,320,818816,584960,320,320,1282496,160,1867472,2221904,1286752,320,320,2222064,1403568,1286752,468480,584960,585072,320,1637424,0,2463776,366912,737856,2214016,1479856,112,612864
657,320,2056640,1996160,320,2056640,320,320,160,1197664,798656,456048,1484096,320,1540656,568832,320,320,1258304,320,1826816,2165504,1996160,320,320,2165504,1371200,1996160,459968,568832,564800,320,1592960,112,2100784,314496,633024,2463552,1262016,0,532224
658,320,2061008,2290720,320,2065040,320,320,320,1492272,802800,459968,1484320,320,1834992,577008,320,320,1262448,320,1831184,2173568,2294752,320,320,2177712,1371200,2298896,456160,568672,576736,160,1605056,112,2463552,375088,737856,3326624,1475712,0,612864
