,port1,1_port2,port1,2_port2,port1,3_port2,3_port3,port1,4_port2,4_port3,port4,5_port1,5_port2,5_port3,port1,6_port4,6_port2,6_port3,port1,7_port2,7_port3,port1,8_port2,8_port3,port1,9_port4,9_port2,9_port3,port1,10_port4,10_port2,10_port3,Host_8,Host_2,Host_5,Host_3,Host_7,Host_4,Host_6,Host_1
43,320.0,320.0,3911360.0,4427914.666666667,320.0,320.0,320.0,4427914.666666667,2149376.0,2746112.0,4352.0,320.0,4641610.666666667,2145344.0,160.0,1754240.0,766586.6666666666,988160.0,320.0,320.0,320.0,3911546.6666666665,3133184.0,4427914.666666667,320.0,2145344.0,1758272.0,3133184.0,320.0,524778.6666666666,5290304.0,3903136.0,0.0,0.0,1548288.0,681408.0,342720.0,0.0,0.0,874944.0
44,320.0,320.0,3907328.0,3907328.0,320.0,320.0,320.0,3907328.0,2149376.0,2750144.0,320.0,320.0,4125056.0,2149376.0,320.0,1762144.0,770272.0,988000.0,320.0,320.0,320.0,3903296.0,8991680.0,3907328.0,320.0,2149376.0,1758272.0,8967488.0,320.0,320.0,11144768.0,3911360.0,0.0,0.0,0.0,0.0,1197504.0,0.0,0.0,0.0
45,160.0,160.0,3915392.0,3911200.0,320.0,320.0,320.0,3915392.0,2149376.0,2754176.0,320.0,320.0,4137152.0,2153594.6666666665,320.0,1766336.0,770432.0,992192.0,320.0,320.0,320.0,3919424.0,13890560.0,3919424.0,320.0,2153408.0,1762304.0,13898624.0,320.0,320.0,16043648.0,3911360.0,0.0,0.0,0.0,737856.0,1032192.0,0.0,0.0,0.0
46,320.0,506.6666666666667,1895658.6666666667,3996032.0,320.0,320.0,320.0,3992000.0,105610.66666666669,2806592.0,320.0,320.0,4217792.0,105610.66666666669,320.0,1790528.0,786560.0,1012352.0,320.0,5078218.666666667,8384.0,1887754.6666666667,2592896.0,3983936.0,8384.0,2189696.0,1798592.0,7670794.666666667,5078218.666666667,4352.0,2673994.6666666665,3996032.0,0.0,0.0,0.0,0.0,1032192.0,0.0,0.0,0.0
47,320.0,320.0,1766336.0,1561594.6666666667,320.0,160.0,320.0,1557562.6666666667,8224.0,2742080.0,8384.0,320.0,1771258.6666666667,320.0,320.0,1758272.0,770432.0,988160.0,320.0,320.0,320.0,1766336.0,2145344.0,1573690.6666666667,320.0,2145344.0,1754240.0,2145344.0,320.0,326912.0,2149216.0,1577722.6666666667,0.0,0.0,1028160.0,737856.0,0.0,0.0,2060352.0,0.0
48,320.0,320.0,1778432.0,778496.0,320.0,320.0,320.0,782528.0,320.0,2778368.0,320.0,320.0,1004288.0,320.0,320.0,1782464.0,778496.0,1000256.0,320.0,320.0,320.0,1782464.0,2173408.0,778496.0,320.0,2173568.0,1778432.0,2173568.0,160.0,891392.0,2177600.0,778496.0,0.0,0.0,1185408.0,846720.0,1185408.0,0.0,4032.0,0.0
49,320.0,320.0,2274368.0,778496.0,320.0,320.0,320.0,774464.0,496256.0,2778368.0,320.0,320.0,996224.0,496256.0,320.0,1774400.0,778496.0,1000256.0,160.0,320.0,320.0,2274368.0,2165504.0,778496.0,160.0,2165504.0,1778432.0,2165504.0,320.0,887360.0,2669504.0,774464.0,0.0,0.0,2475648.0,350784.0,0.0,0.0,4032.0,967680.0
50,320.0,320.0,3467840.0,770432.0,160.0,320.0,160.0,770432.0,1072832.0,3378976.0,320.0,320.0,992192.0,1072832.0,320.0,2387264.0,766400.0,988160.0,320.0,320.0,320.0,3467840.0,2145344.0,766400.0,320.0,2145344.0,2395328.0,2145344.0,320.0,879296.0,3217856.0,770432.0,0.0,0.0,0.0,568512.0,0.0,0.0,0.0,1024128.0
51,320.0,320.0,3596864.0,766400.0,320.0,320.0,320.0,770432.0,1072832.0,3512192.0,320.0,320.0,988160.0,1072832.0,320.0,2532416.0,770432.0,988160.0,320.0,160.0,160.0,3600896.0,2145344.0,770432.0,320.0,2145184.0,2524352.0,2145344.0,320.0,879296.0,3217856.0,770432.0,0.0,0.0,2423232.0,528192.0,0.0,0.0,0.0,951552.0
52,320.0,320.0,3600896.0,1032512.0,320.0,320.0,320.0,1028480.0,1072832.0,3516224.0,160.0,320.0,1250240.0,1072832.0,320.0,2528384.0,770432.0,988160.0,320.0,320.0,320.0,3596864.0,2403392.0,1395392.0,320.0,2145344.0,3153184.0,2403232.0,320.0,1504256.0,3217856.0,766400.0,0.0,0.0,1028160.0,0.0,0.0,0.0,0.0,0.0
53,320.0,320.0,3604928.0,1758272.0,320.0,320.0,320.0,1762304.0,1076864.0,3524288.0,320.0,160.0,1983904.0,1072672.0,320.0,2528384.0,770432.0,992192.0,320.0,320.0,320.0,3612992.0,3145280.0,1846976.0,320.0,2153408.0,3608960.0,3145280.0,320.0,1951808.0,3221888.0,774464.0,0.0,0.0,0.0,612864.0,0.0,4032.0,0.0,1104768.0
54,320.0,320.0,3677504.0,1798592.0,320.0,320.0,320.0,1794400.0,1097024.0,3592832.0,320.0,320.0,2020352.0,1097024.0,320.0,2584832.0,786560.0,1008320.0,320.0,320.0,320.0,3673312.0,2331248.0,1887136.0,320.0,1323248.0,3685568.0,3043386.6666666665,320.0,1996160.0,2415920.0,790592.0,0.0,0.0,0.0,483840.0,943488.0,0.0,0.0,0.0
55,320.0,320.0,3621056.0,1766336.0,320.0,320.0,320.0,1770368.0,1476032.0,3532352.0,320.0,320.0,1984064.0,1480064.0,160.0,2532416.0,1169600.0,996224.0,320.0,320.0,320.0,3612992.0,992192.0,1846976.0,320.0,4352.0,3612992.0,996224.0,320.0,1959712.0,1076864.0,770272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,320.0,320.0,3608960.0,1098549.3333333333,320.0,320.0,320.0,1094517.3333333333,1625216.0,3532352.0,320.0,320.0,1984064.0,1621184.0,320.0,2536288.0,658901.3333333334,992032.0,320.0,320.0,320.0,3617024.0,992192.0,1187253.3333333333,320.0,320.0,3612992.0,992192.0,320.0,1955840.0,1080896.0,110709.33333333331,0.0,0.0,0.0,532224.0,0.0,0.0,633024.0,298800.0
57,160.0,160.0,3608960.0,992032.0,320.0,320.0,320.0,992192.0,1625216.0,3520256.0,320.0,320.0,1980032.0,1629248.0,320.0,2532416.0,548672.0,992192.0,320.0,320.0,320.0,3604928.0,988160.0,1072832.0,320.0,320.0,3604928.0,992192.0,320.0,1955840.0,1076864.0,320.0,0.0,0.0,0.0,528192.0,0.0,0.0,633024.0,0.0
58,320.0,320.0,3955552.0,252549.3333333333,320.0,320.0,320.0,252549.3333333333,1629088.0,3862976.0,4352.0,320.0,1240389.3333333333,1621184.0,320.0,2875136.0,548672.0,988160.0,320.0,320.0,320.0,3955712.0,256581.3333333333,1072832.0,320.0,320.0,3959744.0,256581.3333333333,320.0,1955840.0,1072672.0,320.0,0.0,0.0,0.0,524160.0,0.0,0.0,633024.0,0.0
59,320.0,320.0,3898170.6666666665,4352.0,320.0,160.0,320.0,4352.0,1625216.0,3817530.6666666665,320.0,320.0,992192.0,1621184.0,320.0,2825658.6666666665,556736.0,992192.0,320.0,320.0,320.0,3898170.6666666665,4192.0,1076864.0,320.0,320.0,3890106.6666666665,4352.0,160.0,1951808.0,1072832.0,320.0,0.0,0.0,0.0,612864.0,1201536.0,1104768.0,737856.0,0.0
60,320.0,320.0,3278336.0,320.0,160.0,320.0,320.0,320.0,1625216.0,3197696.0,320.0,320.0,992192.0,1629248.0,320.0,2205824.0,548672.0,992192.0,160.0,320.0,320.0,3274304.0,4352.0,60080.0,160.0,320.0,2265584.0,4352.0,320.0,943088.0,1080896.0,320.0,524160.0,0.0,2104704.0,524160.0,0.0,951552.0,0.0,0.0
61,320.0,320.0,3479936.0,320.0,320.0,320.0,160.0,320.0,1633280.0,3391072.0,320.0,320.0,992192.0,1637312.0,320.0,2209856.0,552704.0,1177664.0,320.0,320.0,320.0,3492032.0,320.0,320.0,320.0,320.0,2213888.0,320.0,320.0,883328.0,1270400.0,320.0,536256.0,0.0,2132928.0,536256.0,0.0,959616.0,637056.0,0.0
62,320.0,320.0,4487936.0,320.0,320.0,320.0,320.0,320.0,2294528.0,3028784.0,320.0,320.0,278960.0,2286464.0,320.0,2201792.0,556736.0,835376.0,320.0,160.0,160.0,4479872.0,320.0,320.0,320.0,160.0,2867072.0,320.0,320.0,883328.0,1625216.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,737856.0,7205184.0
63,320.0,320.0,4491968.0,320.0,320.0,320.0,320.0,320.0,2282432.0,2750144.0,160.0,320.0,320.0,2286464.0,320.0,2197760.0,548672.0,548672.0,320.0,320.0,320.0,4487936.0,320.0,320.0,320.0,320.0,2854816.0,160.0,320.0,879296.0,1621184.0,320.0,0.0,0.0,0.0,524160.0,1032192.0,0.0,633024.0,6172992.0
