,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
112,720.0,720.0,635520.0,480.0,720.0,480.0,720.0,635520.0,480.0,480.0,480.0,480.0,480.0,629472.0
113,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,629712.0,720.0,720.0,480.0,480.0,480.0,635520.0
114,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,720.0,1000.0,720.0,629712.0
115,480.0,760.0,629472.0,720.0,480.0,720.0,480.0,629472.0,480.0,480.0,480.0,480.0,480.0,635520.0
116,720.0,720.0,635760.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,480.0,629472.0
117,480.0,480.0,629472.0,480.0,720.0,480.0,720.0,629712.0,480.0,480.0,480.0,480.0,760.0,635520.0
118,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,635520.0,720.0,720.0,480.0,480.0,720.0,635760.0
119,480.0,480.0,635520.0,480.0,480.0,720.0,480.0,629472.0,480.0,480.0,720.0,720.0,480.0,629472.0
120,480.0,480.0,629712.0,1000.0,480.0,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,480.0,635520.0
121,720.0,720.0,635520.0,480.0,720.0,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,480.0,629472.0
122,480.0,480.0,629472.0,480.0,480.0,480.0,720.0,635760.0,720.0,720.0,480.0,480.0,480.0,635520.0
123,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0,720.0,720.0,720.0,629712.0
124,480.0,480.0,629472.0,720.0,480.0,720.0,480.0,635520.0,480.0,480.0,480.0,480.0,480.0,635520.0
125,1148.0,1148.0,636188.0,908.0,908.0,908.0,908.0,629900.0,908.0,908.0,908.0,908.0,908.0,629900.0
126,480.0,480.0,629472.0,480.0,720.0,480.0,720.0,635760.0,480.0,480.0,480.0,480.0,480.0,635520.0
