,1_port1,1_port2,1_port3,1_port4,1_port5,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port1,5_port2,5_port3,5_port4,5_port5
153,6528.0,480.0,3097056.0,7215744.0,3249984.0,3225792,6768,10324656,480,3219984,6768,10294176,3195552,480,6528,480
154,480.0,480.0,3072864.0,7179456.0,3072864.0,3072864,480,10239744,480,3078912,480,10245792,3078912,720,480,720
155,480.0,6528.0,3091008.0,6888032.0,3091008.0,3091008,480,9966464,6528,3084960,480,9966704,3091248,480,720,6528
156,480.0,720.0,3085200.0,3091008.0,3085200.0,3084960,480,6175488,480,3091008,480,6169440,3084960,480,480,480
157,720.0,480.0,3091008.0,3085200.0,3091008.0,3091248,480,6181536,480,3084960,480,6181536,3091008,480,480,480
158,480.0,480.0,3084960.0,3084960.0,3084960.0,3084960,480,6157584,720,3085200,480,6169440,3084960,480,480,480
159,480.0,480.0,3091008.0,3091008.0,3091008.0,3091008,720,6181536,480,3091008,720,6181536,3091008,720,480,480
160,480.0,480.0,3084960.0,3084960.0,3084960.0,3084960,480,6175488,480,3084960,480,6169680,3085200,480,480,720
161,480.0,480.0,3091248.0,3091008.0,3091248.0,3091008,480,6187584,480,3103104,480,6181536,3091008,480,720,480
162,6768.0,12816.0,1263912.0,1757408.0,776872.0,770824,6528,2996408,12576,752680,6528,2984312,752680,6528,12576,480
163,480.0,480.0,480.0,480.0,480.0,720,480,720,720,720,480,480,480,480,480,480
164,480.0,369408.0,480.0,480.0,480.0,480,720,480,369408,480,720,480,480,720,480,369408
165,480.0,950016.0,480.0,480.0,480.0,480,480,480,950016,480,480,720,720,480,480,944208
166,480.0,950016.0,720.0,480.0,720.0,480,480,480,943968,480,480,480,480,480,720,950016
167,720.0,950256.0,480.0,720.0,480.0,720,480,480,950016,480,480,480,480,480,480,950016
168,480.0,943968.0,480.0,480.0,480.0,480,480,720,950256,720,480,480,480,480,480,950016
169,480.0,950016.0,480.0,480.0,480.0,480,720,480,950016,480,720,480,480,720,480,950256
170,480.0,950016.0,480.0,480.0,480.0,480,480,480,950016,480,480,720,720,480,720,943968
171,720.0,1742544.0,720.0,480.0,720.0,480,480,480,1736256,480,480,480,480,480,780672,950016
172,480.0,3006336.0,480.0,720.0,480.0,720,480,720,3000528,480,480,480,480,480,2056800,950016
173,480.0,5740032.0,480.0,480.0,480.0,480,720,480,5733984,720,720,480,480,480,2062848,3659520
174,480.0,6066624.0,480.0,480.0,480.0,480,480,480,6072672,480,480,480,480,720,2050752,4022640
175,480.0,6102912.0,762768.0,480.0,480.0,480,480,768576,6102912,480,480,774864,720,480,2063088,4046592
176,720.0,6091056.0,2056800.0,480.0,720.0,480,480,2056800,6090816,480,480,2056800,480,480,2056800,4028448
177,480.0,6096864.0,2062848.0,720.0,480.0,720,480,2062848,6103152,480,480,2062848,480,480,2062848,4040544
178,480.0,6102912.0,2062848.0,480.0,480.0,480,480,2057040,6090816,720,720,2056800,480,480,2056800,4034496
179,480.0,6375072.0,2153568.0,480.0,480.0,480,720,2159616,6381120,480,480,2153568,720,720,2159616,4228272
180,480.0,5836800.0,1972128.0,480.0,480.0,480,480,1966080,5830752,480,480,1972368,480,480,1972128,3865152
181,480.0,6865888.0,2081232.0,480.0,6768.0,480,480,2093088,6871696,480,480,2093088,480,744384,2081232,4041232
182,720.0,5891232.0,2020512.0,720.0,480.0,720,480,2020512,5891232,480,480,2020512,480,829056,2020512,3036576
183,480.0,5305784.0,2068896.0,480.0,480.0,480,480,2069136,5306024,720,480,2062848,480,829056,2056800,2432984
184,480.0,2897472.0,2056800.0,480.0,480.0,480,720,2056800,2903520,480,720,2056800,480,841392,2056800,480
185,480.0,2104624.0,2056800.0,480.0,6528.0,480,480,2062848,2110672,480,480,2069136,720,847200,1276048,720
186,480.0,847200.0,2057040.0,480.0,720.0,480,480,2056800,841152,480,480,2056800,480,841152,720,480
187,720.0,1663920.0,2062848.0,720.0,480.0,720,480,2056800,1663680,480,480,2056800,480,847200,480,816960
188,480.0,1790688.0,2056800.0,480.0,480.0,480,480,2057040,1790928,720,480,2056800,480,841152,480,943968
189,480.0,1790688.0,2056800.0,480.0,480.0,480,720,2062848,1796736,480,720,2062848,480,841392,480,956304
190,480.0,1790688.0,2056800.0,480.0,480.0,480,480,2056800,1790688,480,480,2057040,720,847200,480,943968
191,480.0,1796976.0,2063088.0,480.0,720.0,480,480,2056800,1784640,480,480,2056800,480,841152,720,950016
192,720.0,1784640.0,2056800.0,720.0,480.0,720,480,2062848,1796736,480,480,2056800,480,841152,480,950016
193,480.0,1790688.0,2056800.0,1754400.0,480.0,480,480,3817008,1790928,720,480,3822816,480,847200,480,950016
194,480.0,1796736.0,2056800.0,2056800.0,480.0,480,720,4113120,1790688,480,720,4119168,480,841152,480,943968
195,480.0,1796736.0,1287064.0,2062848.0,480.0,480,480,3337336,1802784,480,480,3331288,720,853488,480,950256
196,480.0,1796736.0,720.0,2056800.0,720.0,480,480,2062848,1784640,480,480,2057040,480,841152,720,950016
197,720.0,1790928.0,480.0,2057040.0,480.0,480,480,2056800,1796736,480,480,2056800,480,841152,480,950016
198,480.0,1784640.0,480.0,2056800.0,480.0,720,480,2057040,1790928,480,480,2062848,480,847200,480,950016
199,480.0,1796736.0,480.0,2056800.0,480.0,480,720,2056800,1790688,720,720,2056800,480,841152,480,943968
200,480.0,1519216.0,6528.0,2062848.0,480.0,480,480,2068896,1525264,480,480,2069136,720,575968,480,950256
201,480.0,950016.0,720.0,2056800.0,720.0,480,480,2056800,943968,480,480,2056800,480,480,720,950016
202,720.0,950256.0,480.0,2063088.0,480.0,720,480,2062848,950016,480,480,2056800,480,480,480,950016
203,480.0,943968.0,480.0,2056800.0,480.0,480,480,2050992,950256,480,480,2056800,480,480,480,950016
