,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
90,480.0,1051192.0,7191552.0,6528.0,6528.0,1069336.0,480.0,7197600.0,6528.0,1093528.0,1117960.0,480.0,6768.0,7197840.0
91,480.0,480.0,7197600.0,480.0,480.0,480.0,480.0,7197600.0,720.0,720.0,480.0,720.0,480.0,7197600.0
92,6528.0,720.0,2699056.0,6528.0,480.0,720.0,12816.0,2717440.0,480.0,480.0,480.0,12576.0,480.0,2735344.0
93,480.0,480.0,480.0,720.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
94,720.0,480.0,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0
95,480.0,480.0,266592.0,480.0,480.0,480.0,480.0,266592.0,480.0,480.0,720.0,720.0,720.0,266592.0
96,480.0,720.0,847200.0,480.0,480.0,480.0,720.0,847200.0,720.0,720.0,480.0,480.0,480.0,841152.0
97,480.0,480.0,841152.0,480.0,480.0,720.0,480.0,841392.0,480.0,480.0,480.0,480.0,480.0,847200.0
98,480.0,480.0,1621584.0,720.0,720.0,480.0,480.0,1615296.0,480.0,480.0,768576.0,480.0,480.0,841152.0
99,1258704.0,480.0,1790688.0,480.0,480.0,480.0,1270560.0,1796736.0,480.0,480.0,950256.0,1282656.0,720.0,847440.0
100,4119168.0,480.0,2056800.0,480.0,480.0,480.0,4119168.0,2044704.0,720.0,720.0,1210080.0,4113360.0,480.0,841152.0
101,4113120.0,720.0,2637408.0,480.0,480.0,480.0,4113360.0,2637648.0,480.0,480.0,1790688.0,4119168.0,480.0,841152.0
102,4119168.0,480.0,2625312.0,480.0,720.0,720.0,4113120.0,2637408.0,480.0,480.0,1790688.0,4113120.0,480.0,847200.0
103,5347152.0,480.0,2643696.0,720.0,480.0,480.0,5365056.0,2637408.0,480.0,480.0,1796736.0,5377152.0,480.0,841392.0
104,8237856.0,480.0,2631360.0,480.0,480.0,480.0,8225760.0,2637408.0,480.0,480.0,1784880.0,8226000.0,720.0,847200.0
105,7001384.0,720.0,2643456.0,480.0,480.0,480.0,6995336.0,2631360.0,720.0,720.0,1796736.0,6983240.0,480.0,841152.0
106,4113120.0,480.0,2625312.0,480.0,480.0,720.0,4113360.0,2637648.0,480.0,480.0,1796736.0,4113120.0,480.0,841152.0
107,2850296.0,480.0,2637648.0,720.0,720.0,480.0,2844248.0,2631360.0,480.0,480.0,1790688.0,2832152.0,480.0,841152.0
108,720.0,480.0,3224064.0,480.0,480.0,480.0,480.0,3218016.0,480.0,480.0,2377344.0,480.0,480.0,847440.0
109,480.0,480.0,3369216.0,480.0,480.0,480.0,480.0,3375264.0,480.0,720.0,2522736.0,720.0,720.0,841152.0
110,480.0,720.0,3381312.0,480.0,480.0,480.0,720.0,3381552.0,720.0,480.0,2540640.0,480.0,480.0,847200.0
111,480.0,760.0,3369216.0,480.0,720.0,720.0,480.0,3369496.0,480.0,480.0,2534592.0,480.0,480.0,841152.0
112,720.0,480.0,3653712.0,720.0,480.0,480.0,480.0,3653472.0,480.0,480.0,2800704.0,480.0,480.0,847440.0
113,480.0,480.0,4325080.0,242400.0,480.0,480.0,242400.0,4318752.0,480.0,480.0,3472272.0,242400.0,720.0,841152.0
