,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
13101,480.0,1899072.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1899072.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1893024.0,480.0,480.0
13102,480.0,2062368.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2056320.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1905120.0,157248.0,480.0
13103,480.0,2921184.0,480.0,453600.0,480.0,480.0,480.0,480.0,453600.0,480.0,459648.0,2933280.0,480.0,453600.0,480.0,480.0,480.0,480.0,453600.0,480.0,471744.0,480.0,1893024.0,1028160.0,480.0
13104,480.0,2927232.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3090528.0,2927232.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3090528.0,480.0,1899072.0,1028160.0,480.0
13105,480.0,2927232.0,480.0,3084480.0,480.0,480.0,480.0,480.0,3084480.0,480.0,3084480.0,2921184.0,480.0,3084480.0,480.0,480.0,480.0,480.0,3084480.0,480.0,3084480.0,480.0,1893024.0,1028160.0,480.0
13106,480.0,3090528.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3096576.0,3084480.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3090528.0,480.0,1899072.0,1034208.0,151200.0
13107,480.0,3876768.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3084480.0,3870720.0,480.0,3090528.0,480.0,480.0,480.0,480.0,3090528.0,480.0,3084480.0,480.0,1899072.0,1028160.0,949536.0
13108,480.0,3864672.0,480.0,3084480.0,480.0,480.0,480.0,480.0,3084480.0,480.0,3084480.0,3870720.0,480.0,3084480.0,480.0,480.0,480.0,480.0,3084480.0,480.0,3084480.0,480.0,1893024.0,1028160.0,949536.0
13109,480.0,3870720.0,302400.0,3084480.0,480.0,480.0,480.0,302400.0,3084480.0,480.0,3386880.0,3882816.0,302400.0,3084480.0,480.0,480.0,480.0,302400.0,3084480.0,480.0,3392928.0,480.0,1899072.0,1028160.0,943488.0
13110,480.0,3876768.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,3876768.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,480.0,1899072.0,1028160.0,949536.0
13111,480.0,3882816.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4046112.0,3876768.0,949536.0,3090528.0,480.0,480.0,480.0,949536.0,3090528.0,480.0,4040064.0,480.0,1899072.0,1034208.0,949536.0
